"","date","opens","messages_received","messages_sent","likes","passes","matches"
"408",2016-06-27,127,133,181,188,454,9
"409",2016-06-28,60,33,53,16,35,7
"410",2016-06-29,42,20,22,8,8,2
"411",2016-06-30,44,19,28,112,252,6
"412",2016-07-01,14,7,7,4,8,4
"413",2016-07-02,147,111,157,556,1160,24
"414",2016-07-03,24,18,21,2,3,11
"415",2016-07-04,83,61,78,195,400,18
"416",2016-07-05,109,88,104,110,238,5
"417",2016-07-06,7,9,6,13,19,2
"418",2016-07-07,21,7,13,79,201,4
"419",2016-07-08,95,27,46,667,1673,29
"420",2016-07-09,42,10,8,63,145,20
"421",2016-07-10,1,3,0,33,48,8
"422",2016-07-11,6,0,5,14,21,8
"423",2016-07-12,19,10,20,11,25,2
"424",2016-07-13,4,0,1,8,13,1
"425",2016-07-14,7,1,2,17,31,1
"426",2016-07-15,2,0,0,0,0,0
"427",2016-07-16,2,0,0,11,13,3
"428",2016-07-17,4,1,1,22,32,2
"429",2016-07-18,2,2,1,8,15,1
"430",2016-07-19,10,4,6,18,34,0
"431",2016-07-20,6,2,1,6,14,3
"432",2016-07-21,14,15,17,7,20,0
"433",2016-07-22,1,0,0,0,0,0
"434",2016-07-23,2,1,0,0,0,1
"435",2016-07-24,0,0,0,0,0,2
"436",2016-07-25,2,0,0,2,2,0
"437",2016-07-26,8,0,0,29,64,2
"438",2016-07-27,0,1,0,5,7,2
"439",2016-07-28,4,1,0,4,4,0
"440",2016-07-30,0,0,0,0,0,1
"441",2016-08-02,5,2,0,20,39,2
"442",2016-08-03,0,3,0,5,9,2
"443",2016-08-05,7,2,2,19,43,0
"444",2016-08-06,9,4,1,3,0,3
"445",2016-08-11,0,1,0,0,0,0
"446",2016-08-12,0,0,0,0,0,2
"447",2016-08-14,2,0,2,0,0,1
"448",2016-08-16,8,4,9,24,99,4
"449",2016-08-17,5,2,1,1,1,2
"450",2016-08-18,0,0,0,0,0,1
"451",2016-08-19,0,1,0,0,0,0
"452",2016-08-20,2,1,1,0,0,2
"453",2016-08-21,0,0,0,0,0,1
"454",2016-08-23,1,1,1,0,0,1
"455",2016-08-26,3,1,5,83,186,12
"456",2016-08-27,12,9,10,10,22,0
"457",2016-08-30,2,0,0,0,0,0
"458",2016-09-01,3,0,0,57,131,3
"459",2016-09-02,23,3,15,414,787,26
"460",2016-09-03,45,29,48,211,555,21
"461",2016-09-04,59,43,46,24,28,9
"462",2016-09-05,57,59,98,158,314,19
"463",2016-09-06,141,114,141,252,372,25
"464",2016-09-07,9,10,6,33,46,18
"465",2016-09-08,64,54,94,81,151,23
"466",2016-09-09,27,22,18,86,195,29
"467",2016-09-10,8,2,1,13,17,0
"468",2016-09-11,0,2,0,0,0,7
"469",2016-09-12,0,3,0,0,0,4
"470",2016-09-13,0,0,0,0,0,3
"471",2016-09-14,0,0,0,0,0,2
"472",2016-09-15,3,0,12,3,3,0
"473",2016-09-16,12,15,14,9,17,6
"474",2016-09-17,2,1,4,0,1,1
"475",2016-09-18,9,8,7,4,8,1
"476",2016-09-20,2,0,0,0,0,0
"477",2016-09-26,11,12,15,12,20,3
"478",2016-09-27,36,32,46,71,179,22
"479",2016-09-28,7,8,12,50,112,9
"480",2016-09-29,11,22,44,80,234,8
"481",2016-09-30,65,114,149,186,517,21
"482",2016-10-01,106,96,110,27,88,14
"483",2016-10-02,27,20,31,34,75,8
"484",2016-10-03,0,3,0,0,0,1
"485",2016-10-04,7,3,13,16,37,7
"486",2016-10-05,0,1,0,0,0,1
"487",2016-10-06,17,18,22,0,4,3
"488",2016-10-07,0,29,40,0,0,4
"489",2016-10-08,0,1,1,0,0,0
"490",2016-10-09,0,0,0,0,0,2
"491",2016-10-10,0,0,1,0,0,0
"492",2016-10-11,0,0,0,0,2,0
"493",2016-10-12,3,0,0,1,6,4
"494",2016-10-13,50,24,44,88,211,11
"495",2016-10-14,130,80,92,34,67,7
"496",2016-10-15,0,3,0,0,0,2
"497",2016-10-16,56,56,68,35,91,4
"498",2016-10-17,22,13,15,8,4,4
"499",2016-10-18,3,0,1,11,25,3
"500",2016-10-19,0,1,0,0,0,0
"501",2016-10-20,8,4,5,8,55,2
"502",2016-10-21,4,0,3,3,4,2
"503",2016-10-22,8,2,2,22,46,5
"504",2016-10-23,0,1,0,0,0,1
"505",2016-10-24,1,0,4,2,17,4
"506",2016-10-25,6,26,20,24,45,3
"507",2016-10-26,2,2,0,1,2,1
"508",2016-10-28,0,0,0,0,0,4
"509",2016-10-30,0,1,0,0,0,0
"510",2016-10-31,1,1,0,0,0,2
"511",2016-11-01,15,5,12,23,31,0
"512",2016-11-02,18,3,3,15,47,5
"513",2016-11-03,0,5,0,3,7,2
"514",2016-11-04,22,6,19,322,782,22
"515",2016-11-05,91,63,74,85,207,10
"516",2016-11-06,39,41,60,47,103,11
"517",2016-11-07,30,32,37,6,4,2
"518",2016-11-08,17,20,19,6,16,2
"519",2016-11-09,13,1,6,21,92,1
"520",2016-11-10,4,1,1,0,0,2
"521",2016-11-11,28,17,24,37,119,4
"522",2016-11-12,3,3,1,6,12,1
"523",2016-11-13,2,2,0,3,6,4
"524",2016-11-14,7,3,4,57,140,6
"525",2016-11-15,11,2,0,0,0,1
"526",2016-11-16,14,4,9,27,99,4
"527",2016-11-17,38,48,48,12,62,2
"528",2016-11-18,0,0,0,0,0,1
